ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal
42553;"Jeffrey ""Jeff"" Grayer";M;220;1950;910;United States;USA;1988 Summer;1988;Summer;Seoul;Basketball;Basketball Men's Basketball;Bronze
42622;Draymond Jamal Green;M;260;2000;1040;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Basketball;Basketball Men's Basketball;Gold
43246;"Alexander John ""Alex"" Groza";M;210;2000;1000;United States;USA;1948 Summer;1948;Summer;London;Basketball;Basketball Men's Basketball;Gold
43340;"Ernest ""Ernie"" Grunfeld";M;210;1980;1020;United States;USA;1976 Summer;1976;Summer;Montreal;Basketball;Basketball Men's Basketball;Gold
44951;"Burdette Eliele ""Burdie"" Haldorson";M;220;2060;1020;United States;USA;1956 Summer;1956;Summer;Melbourne;Basketball;Basketball Men's Basketball;Gold
44951;"Burdette Eliele ""Burdie"" Haldorson";M;260;2060;1020;United States;USA;1960 Summer;1960;Summer;Roma;Basketball;Basketball Men's Basketball;Gold
45963;"Anfernee Deon ""Penny"" Hardaway";M;240;2000;910;United States;USA;1996 Summer;1996;Summer;Atlanta;Basketball;Basketball Men's Basketball;Gold
45964;"Timothy Duane ""Tim"" Hardaway";M;340;1800;880;United States;USA;2000 Summer;2000;Summer;Sydney;Basketball;Basketball Men's Basketball;Gold
45970;James Edward Harden, Jr.;M;220;1960;1000;United States;USA;2012 Summer;2012;Summer;London;Basketball;Basketball Men's Basketball;Gold
46770;Hersey R. Hawkins, Jr.;M;220;1900;860;United States;USA;1988 Summer;1988;Summer;Seoul;Basketball;Basketball Men's Basketball;Bronze
46886;Spencer Haywood;M;190;2030;1020;United States;USA;1968 Summer;1968;Summer;Mexico City;Basketball;Basketball Men's Basketball;Gold
46916;"Walter Raphael ""Walt"" Hazzard";M;220;1910;910;United States;USA;1964 Summer;1964;Summer;Tokyo;Basketball;Basketball Men's Basketball;Gold
